what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1362244051245
error,log,,,"Core exception while retrieving the content description",1362244071277
error,log,,,"Core exception while retrieving the content description",1362244071288
error,log,,,"Core exception while retrieving the content description",1362244071362
error,log,,,"Core exception while retrieving the content description",1362244071374
error,log,,,"Core exception while retrieving the content description",1362244071406
error,log,,,"Core exception while retrieving the content description",1362244071441
error,log,,,"Core exception while retrieving the content description",1362244071454
error,log,,,"Core exception while retrieving the content description",1362244071494
error,log,,,"Core exception while retrieving the content description",1362244071507
error,log,,,"Core exception while retrieving the content description",1362244071550
error,log,,,"Core exception while retrieving the content description",1362244071564
error,log,,,"Core exception while retrieving the content description",1362244071606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362244076917
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362244102688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362244113806
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362244116212
error,log,,,"Core exception while retrieving the content description",1362244128099
error,log,,,"Core exception while retrieving the content description",1362244128104
error,log,,,"Core exception while retrieving the content description",1362244128129
error,log,,,"Core exception while retrieving the content description",1362244128134
error,log,,,"Core exception while retrieving the content description",1362244128161
error,log,,,"Core exception while retrieving the content description",1362244128166
error,log,,,"Core exception while retrieving the content description",1362244128188
error,log,,,"Core exception while retrieving the content description",1362244128194
error,log,,,"Core exception while retrieving the content description",1362244128220
error,log,,,"Core exception while retrieving the content description",1362244128230
error,log,,,"Core exception while retrieving the content description",1362244128261
error,log,,,"Core exception while retrieving the content description",1362244128266
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362244151656
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362244156358
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362244160718
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362244161921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362244163046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362244170106
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362244171263
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1362244171406
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1362244183166
